blood,blur,bubble,damage,fold,marker,True_Label,Predicted_Label
0.997806452648123,2.294578587755864e-05,0.00031420036045643515,0.0017495018183679603,0.00010606185185471539,8.375353202853126e-07,blood,blood
0.999825656491856,6.107712397623016e-07,0.00012535968767840984,4.593644457822405e-05,1.185921520172869e-06,1.2506831273168005e-06,blood,blood
0.5682519254940588,0.00012148740749582799,0.004836304728876954,0.42410636037263477,0.002679509299977746,4.412696955746914e-06,blood,blood
0.9998810542402321,2.1016795353074052e-07,2.7394687326822108e-05,8.6194921586098e-05,4.793602355299173e-06,3.523805462003707e-07,blood,blood
0.9214391134258249,0.0004770288522993055,0.06356933415394375,0.014023462434474953,0.0004800658149586426,1.0995318498300298e-05,blood,blood
0.9965205103165886,3.125291669839348e-05,4.613762081868119e-05,0.0023594744410716825,8.842237454020014e-05,0.0009542023302822393,blood,blood
0.8456962128837849,0.09015048574538725,0.053723124966217305,0.005530102643756107,0.004511870139203081,0.0003882036216512621,blood,blood
0.9993132227719581,1.5386894108147243e-06,4.018474247486951e-05,0.000567904633900642,7.642325313976456e-05,7.259091159760331e-07,blood,blood
0.998399392526507,1.1523365910713412e-06,0.0014983860482891403,9.895520176113727e-05,1.9615762211467027e-06,1.5231063055721787e-07,blood,blood
0.9950309377238528,7.548526122579889e-05,0.002849291744648646,0.0019535802830066445,8.808010436051141e-05,2.6248829059677853e-06,blood,blood
0.9681930036881546,5.528512870950994e-05,0.03160817106072099,0.00012867573445868126,1.2014714012276503e-05,2.8496739437410725e-06,blood,blood
0.7081672561854973,0.0003588372251108763,0.29068999977152726,0.0007260319449343179,5.148219974958257e-05,6.39267318075965e-06,blood,blood
0.9975066858215041,6.570925902189759e-06,6.286295864825032e-05,0.0023284077718066275,8.734618284488511e-05,8.126339293585067e-06,blood,blood
0.8853716223172492,0.0001353888644779836,0.1092205027488195,0.004994146273091752,0.0002719010881795595,6.4387081817258545e-06,blood,blood
0.6663561762345799,0.006220600884568242,0.00803110639616606,0.2724593828789844,0.01582906814729653,0.031103665458405264,blood,blood
0.9995374665039901,6.142265083937014e-07,2.307499693732011e-05,0.0004332280709232741,5.5680593204968195e-06,4.814232052798198e-08,blood,blood
0.9914614294541482,3.7656516133635146e-05,0.008088752886114908,0.000304050709818887,0.00010611983775311836,1.9905960314085157e-06,blood,blood
