Epoch,Image_Index,True_Label,Predicted_Label,Prediction_Probability
1,0,0.0,0.0,0.4823608994483948
1,1,0.0,0.0,0.4902157485485077
1,2,1.0,0.0,0.42119884490966797
1,3,1.0,0.0,0.31201979517936707
1,4,0.0,1.0,0.5971763134002686
1,5,0.0,1.0,0.6931720972061157
1,6,1.0,1.0,0.737612247467041
1,7,1.0,1.0,0.5020697116851807
1,8,1.0,0.0,0.412198543548584
1,9,1.0,0.0,0.35032016038894653
1,10,1.0,1.0,0.6428036093711853
1,11,1.0,1.0,0.7298834919929504
1,12,0.0,0.0,0.42260482907295227
1,13,1.0,0.0,0.3097068965435028
1,14,0.0,1.0,0.5767242312431335
1,15,0.0,1.0,0.555464506149292
1,16,0.0,1.0,0.5260342359542847
1,17,1.0,1.0,0.606326162815094
1,18,1.0,1.0,0.6771525740623474
1,19,1.0,1.0,0.5078861117362976
1,20,0.0,1.0,0.5049741864204407
1,21,1.0,1.0,0.6987955570220947
1,22,0.0,1.0,0.6013593077659607
1,23,1.0,1.0,0.6280532479286194
1,24,1.0,1.0,0.7961357831954956
1,25,1.0,1.0,0.7920898199081421
1,26,1.0,1.0,0.5056402683258057
1,27,1.0,0.0,0.4799804091453552
1,28,0.0,1.0,0.5734099745750427
1,29,1.0,1.0,0.6527293920516968
1,30,1.0,1.0,0.7573539614677429
1,31,1.0,1.0,0.7600056529045105
1,32,1.0,1.0,0.872937023639679
1,33,1.0,1.0,0.7893670797348022
1,34,1.0,1.0,0.8022344708442688
1,35,1.0,1.0,0.8566892147064209
1,36,1.0,1.0,0.7296001315116882
1,37,1.0,0.0,0.4966912269592285
1,38,0.0,1.0,0.7209001779556274
1,39,0.0,1.0,0.6903367638587952
1,40,1.0,1.0,0.8345478773117065
1,41,1.0,1.0,0.7915906310081482
1,42,0.0,1.0,0.6060705184936523
1,43,1.0,1.0,0.6972673535346985
1,44,1.0,1.0,0.7135058045387268
1,45,0.0,1.0,0.6187952160835266
1,46,1.0,1.0,0.7485576272010803
1,47,0.0,1.0,0.6124464273452759
1,48,1.0,1.0,0.9525179862976074
1,49,0.0,1.0,0.5540477633476257
1,50,0.0,0.0,0.38524824380874634
1,51,0.0,0.0,0.4721583127975464
1,52,0.0,1.0,0.7231311798095703
1,53,0.0,0.0,0.28172266483306885
1,54,1.0,1.0,0.7654022574424744
1,55,0.0,1.0,0.7156206369400024
1,56,1.0,1.0,0.9156718254089355
1,57,1.0,1.0,0.8089510202407837
1,58,0.0,0.0,0.3911968469619751
1,59,1.0,1.0,0.8079609870910645
1,60,1.0,1.0,0.926891565322876
1,61,0.0,1.0,0.5712059140205383
1,62,0.0,0.0,0.38668447732925415
