Epoch,Phase,Image_Index,True_Label,Predicted_Label,Prediction_Probability
1,test,0,0.0,0.0,0.00476442277431488
1,test,1,0.0,0.0,0.00015138497110456228
1,test,2,0.0,0.0,0.0002603934262879193
1,test,3,0.0,0.0,4.37915041402448e-05
1,test,4,0.0,0.0,1.612862615729682e-05
1,test,5,0.0,0.0,0.004385271109640598
1,test,6,0.0,0.0,0.025241246446967125
1,test,7,0.0,0.0,0.00413473229855299
1,test,8,0.0,0.0,0.000733474618755281
1,test,9,0.0,0.0,0.00020790430426131934
1,test,10,0.0,0.0,0.00023283199698198587
1,test,11,0.0,0.0,1.1580066711758263e-05
1,test,12,0.0,0.0,3.570310218492523e-05
1,test,13,0.0,0.0,0.0011540364939719439
1,test,14,0.0,0.0,3.217987614334561e-05
1,test,15,0.0,0.0,0.02042822167277336
1,test,16,0.0,0.0,4.042587534058839e-05
1,test,17,0.0,0.0,0.001114261569455266
1,test,18,0.0,1.0,0.5603505373001099
1,test,19,0.0,0.0,0.0002819682122208178
1,test,20,0.0,0.0,0.00017294038843829185
1,test,21,0.0,0.0,1.72247218870325e-05
1,test,22,0.0,0.0,3.6473320506047457e-06
1,test,23,0.0,0.0,0.00011978382099187002
1,test,24,0.0,0.0,7.49391401768662e-05
1,test,25,0.0,0.0,4.205952427582815e-05
1,test,26,0.0,0.0,4.889721822110005e-05
1,test,27,0.0,0.0,0.0003254538169130683
1,test,28,0.0,0.0,1.0911513527389616e-05
1,test,29,0.0,1.0,0.644149899482727
1,test,30,0.0,0.0,2.3403792511089705e-05
1,test,31,0.0,0.0,6.121106707723811e-05
1,test,32,0.0,0.0,0.026562854647636414
1,test,33,0.0,0.0,0.014223610050976276
1,test,34,0.0,0.0,0.010914886370301247
1,test,35,0.0,0.0,1.8153055862057954e-05
1,test,36,0.0,0.0,0.00020954696810804307
1,test,37,0.0,0.0,0.005027392879128456
1,test,38,0.0,0.0,4.665895539801568e-05
1,test,39,0.0,0.0,3.61013226211071e-05
1,test,40,0.0,0.0,5.107574907015078e-05
1,test,41,0.0,0.0,0.0005550525966100395
1,test,42,0.0,0.0,0.0012040977599099278
1,test,43,0.0,0.0,0.001048795529641211
1,test,44,0.0,0.0,2.0293684428907e-05
1,test,45,0.0,0.0,0.011746265925467014
1,test,46,0.0,1.0,0.9975366592407227
1,test,47,0.0,0.0,0.001510392758063972
